title,circular_no,date,category,circular_type,url
Microfinance Credit Guarantee Facility (MCGF),AC&MFD Circular No. 03 of 2012,June 21 2012,Agriculture Credit & Financial Inclusion Department / ACFID / 8387,Microfinance,https://www.sbp.org.pk/circulars/acmfd-circular-no-03-of-2012
All Micro Finance Banks/DFIs/Exchange Companies,Circular No. 1 of 2012,April 29 2012,/  / 9008,Microfinance,https://www.sbp.org.pk/circulars/circular-no-1-of-2012
Prudential Regulations For Microfinance Banks Revision in PR - 10 & PR - 11,AC&MFD Circular No. 02 of 2012,March 16 2012,Agriculture Credit & Financial Inclusion Department / ACFID / 8388,Microfinance,https://www.sbp.org.pk/circulars/acmfd-circular-no-02-of-2012
Prudential Regulations For Microfinance Banks - Review of Instructions Relating to General Provision Requirements,AC&MFD Circular Letter No. 01 of 2011,September 16 2011,Agriculture Credit & Financial Inclusion Department / ACFID / 8393,Microfinance,https://www.sbp.org.pk/circulars/acmfd-circular-letter-no-01-of-2011
All Micro Finance Banks/DFIs/Exchange Companies,Circular No. 1 of 2011,April 29 2011,/  / 9053,Microfinance,https://www.sbp.org.pk/circulars/circular-no-1-of-2011
Prudential Regulations for Microfinance Banks,BPRD Circular Letter No. 04 of 2011,March 09 2011,Banking Policy & Regulations Department / BPRD / 6644,Microfinance,https://www.sbp.org.pk/circulars/bprd-circular-letter-no-04-of-2011
Relief Measures for Borrowers of Floods Affected Areas,MFD Circular No. 06 of 2010,November 02 2010,Agriculture Credit & Financial Inclusion Department / ACFID / 5040,Microfinance,https://www.sbp.org.pk/circulars/mfd-circular-no-06-2010
Special FCY Borrowing by Micro Finance Banks/Institutions(MFB/Is),FE Circular No. 08 of 2009,November 25 2009,Exchange Policy Department / EPD / 4338,Microfinance,https://www.sbp.org.pk/circulars/fe-circular-no-08-of-2009
Microfinance Credit Guarantee Facility (MCGF),BPRD Circular Letter No. 26 of 2009,September 08 2009,Banking Policy & Regulations Department / BPRD / 7854,Microfinance,https://www.sbp.org.pk/circulars/bprd-circular-letter-no-26-of-2009
Amendments in Microfinance Credit Guarantee Facility (“MCGF”),BPRD Circular Letter No. 19 of 2009,July 16 2009,Banking Policy & Regulations Department / BPRD / 7866,Microfinance,https://www.sbp.org.pk/circulars/bprd-circular-letter-no-19-of-2009
Amendments in Microfinance Credit Guarantee Facility (“MCGF”),BPRD Circular No. 10 of 2009,May 26 2009,Banking Policy & Regulations Department / BPRD / 7602,Microfinance,https://www.sbp.org.pk/circulars/bprd-circular-no-10-of-2009
FINANCING FACILITIES BY BANKS/DFIs TO MICROFINANCE BANKS (MFBs) AND MICRO FINANCE INSTITUTIONS (MFIs),BPRD Circular No. 15 of 2008,December 19 2008,Banking Policy & Regulations Department / BPRD / 7888,Microfinance,https://www.sbp.org.pk/circulars/bprd-circular-no-15-of-2008
AMENDMENT IN REVISED PRUDENTIAL REGULATION FOR MICROFINANCE BANKs (MFBs),BPRD Circular No. 10  of 2008,August 19 2008,Banking Policy & Regulations Department / BPRD / 7894,Microfinance,https://www.sbp.org.pk/circulars/bprd-circular-no-10-of-2008
Revised Prudential Regulations for Microfinance Banks (MFBS),BPRD Circular No. 01 of 2007,March 05 2007,Banking Policy & Regulations Department / BPRD / 8971,Microfinance,https://www.sbp.org.pk/circulars/bprd-circular-no-01-of-2007
Submission of Periodical Returns and Minutes of Board of Directors’/General Meetings,MFD Circular Letter No. 1 of 2007,February 02 2007,Agriculture Credit & Financial Inclusion Department / ACFID / 8988,Microfinance,https://www.sbp.org.pk/circulars/mfd-circular-letter-no-1-of-2007
GUIDELINES FOR COMMERCIAL BANKS TO UNDERTAKE MICROFINANCE BUSINESS,SMED Circular No. 11 of 2006,June 27 2006,SME Housing & Sustainable Fianance Department / SHSFD / 10299,Microfinance,https://www.sbp.org.pk/circulars/smed-circular-no-11
Guidelines for Commercial Banks to Undertake Microfinance Business,SMED Circular No. 10 of 2006,June 10 2006,SME Housing & Sustainable Fianance Department / SHSFD / 9027,Microfinance,https://www.sbp.org.pk/circulars/smed-circular-no-10-of-2006
Prudential Regulations for Commercial Banks to undertake Micro Finance Business,SMED Circular No. 11 of 2006,June 10 2006,SME Housing & Sustainable Fianance Department / SHSFD / 9025,Microfinance,https://www.sbp.org.pk/circulars/smed-circular-no-11-of-2006
Amendments in Prudential Regulation Nos. 12 And 14 for Microfinance Banks (MFBs),SMED Circular No. 7 of 2006,April 13 2006,SME Housing & Sustainable Fianance Department / SHSFD / 9033,Microfinance,https://www.sbp.org.pk/circulars/smed-circular-no-7-of-2006
Fit & Proper Criteria for Board Members and President/Chief Executive of Microfinance Banks,BSD Circular No. 2 of 2005,March 28 2005,Banking Supervision Department-I / BSD1 / 10199,Microfinance,https://www.sbp.org.pk/circulars/bsd-circular-no-2-of-2005
CREDIT RATING OF MICROFINANCE BANKS PRUDENTIAL REGULATION 29 FOR MICROFINANCE BANKS,BSD Circular No. 11 of 2003,December 30 2003,Banking Supervision Department-I / BSD1 / 10306,Microfinance,https://www.sbp.org.pk/circulars/bsd-circular-no-11
GUIDELINES FOR MOBILE BANKING OPERATIONS OF MICROFINANCE BANKS/ INSTITUTIONS,BSD Circular No. 10 of 2003,November 17 2003,Banking Supervision Department-I / BSD1 / 10307,Microfinance,https://www.sbp.org.pk/circulars/bsd-circular-no-10
Guidelines For Mobile Banking Operations Of Microfinance Banks/ Institutions,BSD Circular No. 2 of 2003,February 14 2003,Banking Supervision Department-I / BSD1 / 10242,Microfinance,https://www.sbp.org.pk/circulars/bsd-circular-no-2-of-2003
MICRO FINANCE RULES,BSD Circular No. 13 of 2002,April 24 2002,Banking Supervision Department-I / BSD1 / 10309,Microfinance,https://www.sbp.org.pk/circulars/bsd-circular-no-13-of-2002
